x,y,marker,order
8823,8500,1.083863149,12507
8667,7858,1.235663967,12501
8436,7598,1.623776942,12494
8250,7018,1.051974933,12098
8553,6993,1.091465189,12190
8788,6738,1.625249832,12219
9247,6797,1.141599257,16170
9305,6763,1.044696269,16182
9546,7130,1.021638877,16230
10203,7291,1.147581813,16366
10519,7665,1.524146437,16563
10740,8212,1.362824828,16587
10874,8925,1.198207784,16625
10771,9312,1.062601371,17065
10455,9599,1.162579792,17005
10080,9948,1.144040101,16924
9701,10189,1.727145486,16824
9219,10043,1.206722399,13071
8837,9922,1.322400931,12996
8516,9656,1.57297723,12937
8090,9757,1.047251566,12811
7974,9492,1.017012369,12778
7910,8824,1.554481191,12478
7632,8467,1.247976127,12422
7369,8140,1.111382647,8836
7164,7922,1.209403223,8794
6931,7991,1.495212905,8711
6621,8268,1.236088981,8601
6346,8473,1.276094813,8531
6289,8684,1.682855851,8509
6426,9220,1.022943238,9074
6106,9164,1.499272365,8477
5774,9269,1.622475622,8887
5712,9607,1.754741212,8865
5896,9991,1.192815948,8935
6098,10076,1.660837212,8992
6283,10231,1.511204466,9036
6612,10425,1.491741125,9144
6837,10495,1.018884864,9205
7189,10647,1.9510812,9321
7414,10780,4.009809758,12563
7695,11022,1.077422134,12645
8084,10953,1.406138038,12815
8465,10942,1.196703621,12931
8743,10978,1.040793176,12985
9160,10977,1.478124169,13052
9588,10923,1.834859293,16790
10051,10831,2.230570182,16919
10355,10654,2.061709079,16981
10805,10397,1.728839895,17082
11054,10266,1.268487344,17157
11388,9956,1.33293572,21016
11716,9616,1.530155706,21110
11982,9322,2.079587903,21162
12210,9114,1.254380005,20839
12358,8637,1.539711464,20892
12484,8054,1.153773292,20907
12233,7639,2.832592059,20829
11995,7207,1.036448781,20219
11706,7017,1.955064648,20095
11372,6784,2.51767771,19999
11152,6491,1.06232838,19899
10621,6352,1.192654151,16421
10227,6026,1.249223805,16364
9725,6018,2.50017243,16256
9357,5961,1.839945128,16195
8923,5817,1.002471763,12251
8361,5893,1.255011988,12128
7925,5917,1.328695135,12035
7372,5922,1.637148488,8428
7126,6347,1.017574856,8377
6780,6341,2.596222566,8304
6441,6486,1.337201497,8225
6078,6672,1.966499416,8112
5757,6861,1.561747042,7968
5482,7191,2.092312263,4728
5185,7338,1.372574307,4639
4968,7550,1.473185146,5125
4737,7864,1.136985563,5031
4494,8568,2.547350944,4979
4398,9174,1.071328601,4958
4486,9871,1.222558245,5452
4636,10379,1.25442496,5508
4909,10712,1.01681235,5588
5211,11279,1.132288691,6203
5567,11493,1.261999636,9367
5850,11628,1.360965798,9435
6307,11970,1.005527,9536
6498,12004,1.127168759,9564
6994,12212,1.564220246,9633
7275,12267,1.703230898,9677
7729,12365,1.008415011,13133
8032,12370,1.591145766,13177
8472,12362,2.846606012,13259
8800,12520,1.069764497,13320
9150,12397,1.150886368,13375
9480,12378,1.13124733,17214
9844,12309,1.331534932,17268
10304,12214,1.228888934,17347
10746,12073,1.401730228,17429
11140,11913,1.246532121,21368
11400,11606,1.125154231,21472
11681,11580,1.056145587,21560
11958,11425,1.099292441,21625
12279,11053,1.26351987,21224
12502,10738,1.674419419,21275
12850,10388,1.476872365,21331
13064,9985,1.129010631,24417
13242,9622,1.03075659,24482
13361,9134,2.461841678,24024
13409,8741,1.142151536,24046
13397,8164,1.075443875,24039
13191,7516,1.151894717,23927
12953,7100,1.044559665,23420
12769,6699,1.070560448,20416
12515,6434,1.055699725,20351
12135,5997,1.674127534,20240
